見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「創立100周年記念　国画創作協会の全貌展」,展示,～12月16日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018－秋冬 和歌山ゆかりの作家たち／国展の版画 ,展示,～12月24日（振休）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,秋期特別展　特別展講座4「房総半島の海人の首長墓」,イベント,11月10日（土）13:30～15:00,,小学生以上　,30人（先着順）,,事前申込,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）, 秋期特別展　ワークショップ「古代の塩づくり」,イベント,11月18日（日）13:30～15:30,,小学生以上　,30人（先着順）,,事前申込,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,秋期特別展「黒潮の海に糧を求めて－古墳時代の海の民とその社会－」 ,展示,～12月2日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,モササウルスの化石調査に参加しよう！,イベント,12月2日（日）13:00～16:0,長谷川地区（有田川町）,小学生以上（小学生は保護者同伴）,20人（抽選）,,11月18日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,大人の夜の水族館 ,イベント,12月22日（土）18:30～21:00,,18歳以上　,30人（抽選）,,12月8日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,手づくり紙芝居コンクール最終審査会,イベント,11月11日（日）13:00～16:00,情報交流センターBig・U（田辺市）,,100人,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,「きのくに県民カレッジ」認定証授与式・講演会,イベント,11月23日（祝）13:00～15:00,,,150人（先着順） ,, 事前申込（当日参加も可）,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,企画展「和歌山県歌人クラブ短歌作品展～ふるさとを詠（うた）う」,展示,11月21日（水）～平成31年1月14日（祝）,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,, 日曜体験教室「ペーパークラフトでお正月リース作り」,イベント,12月9日（日）(1)10:30～11:30(2)13:00～14:00(3)14:30～15:30,,小学生以上（小学生は保護者同伴）,各8人（先着順） ,"1,500円 ",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,第51回寒らん展 ,展示,11月10日（土）・11日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,第2回緑和会　盆栽展,展示,11月17日（土）・18日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,寒らん遅咲き展,展示,11月24日（土）・25日（日）,,,,"1,000円",,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,冬の洋ラン展 ,展示,12月7日（金）～9日（日）,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)11月5日（月）・11日（日）、25日（日）、12月1日（土）・9日（日）・23日（祝）いずれも11:00～ (2)11月16日（金）11:00～(3)11月30日（金）13:30～ ,(1)県動物愛護センター(2)湯浅本保健所(3)海南保健所,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,640円が必要です。",,入場無料
